horizon,feature_name,feature_label_ko,feature_group,feature_group_ko,source_table,n_obs,pearson_all,spearman_all,spearman_train,spearman_valid,spearman_test,split_ic_std,abs_spearman_all
60d,epsis_smp_monthly__smp_land_krw_per_kwh,EPSIS SMP 육지 SMP(원/kWh),power_epsis,전력/EPSIS,raw.epsis_smp_monthly,2074,-0.19702937611913587,-0.18442812750524548,0.14271642990586184,0.02714855567557347,-0.21590502548143983,0.14945840191670687,0.18442812750524548
60d,mkt_min_vwap,일별 최저 빈티지 VWAP,market_internal,시장 내부,data.processed.targets.market_vwap_targets,2074,-0.2345191063270574,-0.17840572974539406,-0.15360111589903344,-0.41394789362080703,-0.1342646257499547,0.1275308567664726,0.17840572974539406
60d,mkt_market_vwap,시장 VWAP,market_internal,시장 내부,data.processed.targets.market_vwap_targets,2074,-0.23088478410660557,-0.17333986609279667,-0.14797304264289438,-0.4041202901762207,-0.12706163074293306,0.1259674562617572,0.17333986609279667
60d,mkt_log_market_vwap,시장 VWAP 로그값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,2074,-0.22846363943464673,-0.17333986609279667,-0.14797304264289438,-0.4041202901762207,-0.12706163074293306,0.1259674562617572,0.17333986609279667
60d,mkt_market_vwap_lag_1d,시장 VWAP 1일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,2074,-0.23174028681359943,-0.17226043978160485,-0.14614082784023494,-0.40152238222141534,-0.11495551990979475,0.12837134862230812,0.17226043978160485
60d,mkt_market_vwap_lag_60d,시장 VWAP 60일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,2020,-0.24005997890039737,-0.17224758440294255,-0.20421765714071036,-0.13329680078396236,-0.21098471907720465,0.03513620108846956,0.17224758440294255
60d,epsis_fuel_cost_monthly__fuel_price_lng_krw_per_ton,EPSIS 발전연료비 연료가격(LNG),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,2074,-0.17072376736053851,-0.16645342982397185,0.20946874169895882,0.0841455972793861,-0.5784824969642905,0.3457116711813738,0.16645342982397185
60d,mkt_market_vwap_lag_5d,시장 VWAP 5일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,2073,-0.2307220124348089,-0.16597510825406922,-0.1425450664012064,-0.38061386412798603,-0.10472171284377935,0.12212190524482404,0.16597510825406922
60d,mkt_market_vwap_lag_20d,시장 VWAP 20일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,2060,-0.25044419015095437,-0.16358831480611502,-0.16576208927942473,-0.33574400559769096,-0.06848054892526682,0.11044722482374429,0.16358831480611502
60d,krx_auction_monthly__auct_trd_partc_cnt,KRX 배출권 경매 경매 참여자 수,auction,KRX 경매,raw.krx_auction_monthly,1673,-0.20657407999026417,-0.16104159039587007,-0.23137321954969758,-0.0790380215699677,-0.4430951090989197,0.1492833748419724,0.16104159039587007
