feature_name,feature_label_ko,feature_group,feature_group_ko,source_table,missing_30d,missing_60d,missing_train,missing_valid,missing_test,abs_ic_30d,abs_ic_60d,max_abs_ic
kma_asos_weather_station_daily__sunshine_hours,KMA 관측소 ASOS 기상 일조시간,weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,0.0,0.0,0.0,0.0,0.0,0.055228310941907596,0.08065455157566928,0.08065455157566928
kma_asos_weather_daily__sunshine_hours,KMA 전국 ASOS 기상 일조시간,weather_kma,기상/KMA,raw.kma_asos_weather_daily,0.0,0.0,0.0,0.0,0.0,0.05522080444436151,0.08064886145182248,0.08064886145182248
oil_daily__brent,국제유가 일별 가격 브렌트유 가격,external_market,외부시장,raw.oil_daily,0.0,0.0,0.0,0.0,0.0,0.0743301766011884,0.05538292479718077,0.0743301766011884
mkt_volume_lag_5d,시장 거래량 로그값 5일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.00048216007714561236,0.004629629629629629,0.0,0.0,0.04427514719626204,0.07391931065579603,0.07391931065579603
oil_daily__wti,국제유가 일별 가격 WTI 가격,external_market,외부시장,raw.oil_daily,0.0004775549188156638,0.00048216007714561236,0.0,0.0020408163265306124,0.0,0.07297126765946425,0.053754763203073146,0.07297126765946425
commodities_monthly__natgas_europe,원자재 월별 가격 유럽 천연가스 가격,external_market,외부시장,raw.commodities_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.06931454106503819,0.0704861849842366,0.0704861849842366
mkt_volume_mean_5d,시장 거래량 로그값 5일 이동평균,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.001851851851851852,0.0,0.0,0.03972613471491584,0.06848719224774756,0.06848719224774756
epsis_power_trade_volume_monthly__trade_volume_oil_gwh,EPSIS 전력거래량 전력거래량(유류),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.02194029322456785,0.06570690176670749,0.06570690176670749
epsis_fuel_cost_monthly__fuel_price_oil_krw_per_kl,EPSIS 발전연료비 연료가격(유류),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.04682282539646061,0.06204455957327053,0.06204455957327053
mkt_logret_lag_5d,시장 VWAP 로그수익률 5일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0009643201542912247,0.005555555555555556,0.0,0.0,0.06084278475115481,0.02856853116201697,0.06084278475115481
mkt_logret_lag_1d,시장 VWAP 로그수익률 1일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.001851851851851852,0.0,0.0,0.05857553003051422,0.06072307515058131,0.06072307515058131
mkt_volume_lag_1d,시장 거래량 로그값 1일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.000925925925925926,0.0,0.0,0.037008277783773115,0.05740318196035772,0.05740318196035772
