feature_name,feature_label_ko,feature_group,feature_group_ko,source_table,missing_all,missing_30d,missing_60d,missing_train,missing_valid,missing_test,constant_rate,baseline_candidate_by_missing
epsis_power_supply_daily__installed_capacity_mw,EPSIS 전력수급 설비용량(MW),power_epsis,전력/EPSIS,raw.epsis_power_supply_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.03564727954971857,True
epsis_power_supply_daily__minimum_demand_mw,EPSIS 전력수급 최저수요(MW),power_epsis,전력/EPSIS,raw.epsis_power_supply_daily,0.952626641651032,0.9622731614135626,0.9720347155255545,1.0,1.0,0.8202846975088968,0.7524752475247525,False
epsis_power_supply_daily__peak_demand_mw,EPSIS 전력수급 최대수요(MW),power_epsis,전력/EPSIS,raw.epsis_power_supply_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.03564727954971857,True
epsis_power_supply_daily__reserve_capacity_mw,EPSIS 전력수급 공급예비력(MW),power_epsis,전력/EPSIS,raw.epsis_power_supply_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.03564727954971857,True
epsis_power_supply_daily__reserve_margin_pct,EPSIS 전력수급 공급예비율(%),power_epsis,전력/EPSIS,raw.epsis_power_supply_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.037054409005628515,True
epsis_power_supply_daily__supply_capacity_mw,EPSIS 전력수급 공급능력(MW),power_epsis,전력/EPSIS,raw.epsis_power_supply_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.03564727954971857,True
epsis_power_trade_volume_monthly__trade_volume_anthracite_gwh,EPSIS 전력거래량 전력거래량(무연탄),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.03759398496240601,True
epsis_power_trade_volume_monthly__trade_volume_bio_gwh,EPSIS 전력거래량 전력거래량(바이오),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
epsis_power_trade_volume_monthly__trade_volume_bituminous_coal_gwh,EPSIS 전력거래량 전력거래량(유연탄),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
epsis_power_trade_volume_monthly__trade_volume_coal_gasification_gwh,EPSIS 전력거래량 전력거래량(석탄가스화),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.13768796992481203,True
epsis_power_trade_volume_monthly__trade_volume_coal_total_gwh,EPSIS 전력거래량 전력거래량(석탄 합계),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
epsis_power_trade_volume_monthly__trade_volume_fuel_cell_gwh,EPSIS 전력거래량 전력거래량(연료전지),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
epsis_power_trade_volume_monthly__trade_volume_hydro_gwh,EPSIS 전력거래량 전력거래량(수력),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
epsis_power_trade_volume_monthly__trade_volume_lng_gwh,EPSIS 전력거래량 전력거래량(LNG),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
epsis_power_trade_volume_monthly__trade_volume_market_ppa_total_gwh,EPSIS 전력거래량 전력거래량(시장+PPA 합계),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
epsis_power_trade_volume_monthly__trade_volume_market_total_gwh,EPSIS 전력거래량 전력거래량(시장 합계),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
